Date,rv_true,garch_rv,har_rv
2024-11-15,1.8801568609355034e-05,2.8040610660986132e-05,2.0232937758575323e-05
2024-11-18,1.9397625256249693e-05,2.6558826761801028e-05,1.8764963745057085e-05
2024-11-19,1.937087103345178e-05,2.7159555084022975e-05,1.8124579997480647e-05
2024-11-20,3.4196151481396805e-05,2.5749252732780234e-05,1.8627311146850218e-05
2024-11-21,2.806954596789554e-05,2.5613150720215778e-05,1.9574740119999835e-05
2024-11-22,9.208300914743225e-05,2.6465934301721247e-05,2.0029148503288335e-05
2024-11-25,2.1561961782710693e-05,2.649994443506691e-05,2.693859235088528e-05
2024-11-26,4.717236432591215e-05,2.7906386951294483e-05,2.5931420911940704e-05
2024-11-27,4.190065565250204e-05,2.6461280644050787e-05,2.885924547743286e-05
2024-11-28,5.502937066059296e-06,2.7727826225173697e-05,2.977798023251746e-05
2024-11-29,9.94615584944127e-06,2.6341309826704684e-05,2.6559774702825125e-05
2024-12-02,3.798612423374858e-05,2.52255303829114e-05,2.2056130707439216e-05
2024-12-03,9.703381394668748e-06,2.648788866872645e-05,2.4736797265575666e-05
2024-12-04,1.679364747375734e-05,2.522157085726175e-05,2.0761128376279134e-05
2024-12-05,2.1531040760061963e-05,2.3971734962402283e-05,1.904005124556542e-05
2024-12-06,2.4587795611015976e-05,2.5472165035874855e-05,2.0796312151362916e-05
2024-12-09,1.2587171210869817e-05,2.4346951845416444e-05,1.980585479545703e-05
2024-12-10,1.588504812150485e-05,2.3239535525527293e-05,1.7068194702330305e-05
2024-12-11,1.175745037596018e-05,2.2403948958851365e-05,1.7330101044674477e-05
2024-12-12,1.4826476173039728e-05,2.1716124773960177e-05,1.6500912159376214e-05
2024-12-13,1.671618813372411e-05,2.1004191556243385e-05,1.6091608117465945e-05
2024-12-16,8.179976451793754e-06,2.0611881207217926e-05,1.53053002580329e-05
2024-12-17,1.0029466502092422e-05,1.9694851784245237e-05,1.4355014439384867e-05
2024-12-18,9.440045914260346e-05,1.8973932116071018e-05,1.3823252858880279e-05
2024-12-19,1.871365772494466e-05,2.6618216954008217e-05,2.2469380169165436e-05
2024-12-20,3.6383035236260504e-05,2.539344115573827e-05,2.1478168632353642e-05
2024-12-23,1.2496316222342135e-05,2.6089118440770592e-05,2.3159173519504107e-05
2024-12-24,2.2384344780639183e-06,2.501320605697331e-05,2.2288223398006962e-05
2024-12-26,4.984521841623347e-06,2.3973886073122883e-05,1.9097213231553176e-05
2024-12-27,5.048561335315227e-06,2.344416404670481e-05,1.4020716348279182e-05
2024-12-30,2.4938968572562568e-05,2.2337870457857906e-05,1.2382277323556627e-05
2024-12-31,2.1785838114718654e-05,2.143382480113277e-05,1.1801403168132537e-05
2025-01-02,7.361153828228968e-05,2.1708414881820064e-05,1.2820323978232528e-05
2025-01-03,9.545361029435488e-06,2.353615314759641e-05,1.966865940301857e-05
2025-01-06,6.94330596065331e-05,2.3194202257458928e-05,1.810264410984343e-05
2025-01-07,2.9603317163886528e-05,2.503831435639731e-05,2.400268982596387e-05
2025-01-08,2.4147615000441734e-05,2.4838196531041128e-05,2.37920110817262e-05
2025-01-09,4.907266394309388e-06,2.3847986195552763e-05,2.3790168582389284e-05
2025-01-10,3.446059661201459e-05,2.284673920497183e-05,1.8776069304317213e-05
2025-01-13,1.837720185726456e-05,2.3026048862098022e-05,2.1889053222660854e-05
2025-01-14,1.6842151732866888e-05,2.195414262325082e-05,1.8406587874779614e-05
2025-01-15,3.0391205529792883e-05,2.3061005339241065e-05,1.7537682551076614e-05
2025-01-16,1.0085828082323819e-05,2.2099382932983797e-05,1.8583821534473762e-05
2025-01-17,1.454876847921621e-05,2.1153056808056572e-05,1.8151740102321686e-05
2025-01-20,9.425204955871965e-05,2.061454508347696e-05,1.7032693492984595e-05
2025-01-21,2.9156937649335325e-05,2.860936188829968e-05,2.4811227682889175e-05
2025-01-22,1.4066348683319037e-05,2.7303704469483646e-05,2.338515539489107e-05
2025-01-23,1.4557343607591419e-05,2.6107552130461684e-05,2.1853039688836292e-05
2025-01-24,3.969849413172977e-05,2.4884315261568405e-05,2.1740154413312837e-05
2025-01-27,2.018734761707794e-05,2.646819797619669e-05,2.4350907175614748e-05
2025-01-28,2.0498516607161027e-05,2.5216311931459406e-05,1.9765578111331282e-05
2025-01-29,1.2582582548271973e-05,2.551242010690694e-05,1.9391589848178216e-05
2025-01-30,2.193025954062808e-05,2.43398944777166e-05,1.9068321098459438e-05
2025-01-31,2.351342858761449e-05,2.353461640493809e-05,1.9924229501107393e-05
